PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0362,Causal,16,2,7,5.6666667,0.875,0.5,0.595238092857143,3,2,3,2,0.666666666666667,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0731,Descriptive,7,1,3,3,0.857142857142857,0.5,0.5,2,1,2,1,0.5,No,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Health-system,Single-sector,Q4,Q3-Q4,Not stated
STUDY-0322,Causal,16,1,7,6.1666667,0.9375,0.533333333333333,0.588888886666667,4,0,4,2,0.5,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0159,Causal,14,6,3,3,0.571428571428571,0.625,0.625,2,3,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0419,Causal,13,1,6,5.6666667,0.923076923076923,0.5,0.527777775,2,1,2,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Declared none
STUDY-0333,Descriptive,7,0,3,3,1,0.571428571428571,0.571428571428571,3,0,3,1,0.333333333333333,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0046,Causal,15,5,5,3.8333333,0.666666666666667,0.5,0.61666667,3,2,3,2,0.666666666666667,No,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0355,Causal,14,2,5,5,0.857142857142857,0.583333333333333,0.583333333333333,2,1,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Declared none
STUDY-0845,Causal,13,3,5,5,0.769230769230769,0.5,0.5,3,2,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0555,Causal,19,1,7,5.6666667,0.947368421052632,0.611111111111111,0.685185183333333,2,1,2,1,0.5,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0945,Causal,15,1,7,6.3333333,0.933333333333333,0.5,0.54761905,4,0,4,1,0.25,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0365,Causal,15,3,7,6.6666667,0.8,0.416666666666667,0.444444441666667,3,1,3,3,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0023,Causal,13,3,7,6.5,0.769230769230769,0.3,0.35,3,2,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0817,Causal,17,1,6,5.1666667,0.941176470588235,0.625,0.67708333125,3,0,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0170,Causal,16,3,8,6.6666667,0.8125,0.384615384615385,0.487179484615385,3,2,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0442,Causal,14,2,6,5,0.857142857142857,0.5,0.583333333333333,3,1,3,1,0.333333333333333,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0026,Causal,14,3,5,4.5,0.785714285714286,0.545454545454545,0.590909090909091,3,2,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Funded
STUDY-0048,Causal,14,1,6,5.6666667,0.928571428571429,0.538461538461538,0.564102561538461,2,1,2,1,0.5,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Not stated
STUDY-0326,Causal,12,1,6,5.6666667,0.916666666666667,0.454545454545455,0.484848481818182,2,1,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Not stated
STUDY-0144,Causal,16,4,9,8.5,0.75,0.25,0.291666666666667,4,2,4,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0045,Descriptive,6,1,3,2.5,0.833333333333333,0.4,0.5,2,1,1,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Not stated
STUDY-0234,Descriptive,9,2,4,3.5,0.777777777777778,0.428571428571429,0.5,3,2,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0788,Causal,13,5,5,5,0.615384615384615,0.375,0.375,3,2,3,1,0.333333333333333,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
STUDY-0521,Causal,14,1,6,5.6666667,0.928571428571429,0.538461538461538,0.564102561538461,3,1,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0192,Causal,16,1,9,8.1666667,0.9375,0.4,0.455555553333333,4,0,4,2,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Funded
STUDY-0049,Causal,16,3,9,8,0.8125,0.307692307692308,0.384615384615385,4,1,4,2,0.5,No,3-10,>=50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0012,Descriptive,10,0,7,6.5,1,0.3,0.35,5,0,4,2,0.5,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Funded
STUDY-0141,Causal,16,2,8,7.1666667,0.875,0.428571428571429,0.488095235714286,4,1,4,2,0.5,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0671,Causal,15,3,4,3.6666667,0.8,0.666666666666667,0.694444441666667,3,1,3,0,0,No,3-10,<50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0924,Descriptive,9,0,3,2.5,1,0.666666666666667,0.722222222222222,2,0,2,2,1,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0182,Causal,14,5,7,6,0.642857142857143,0.222222222222222,0.333333333333333,3,3,3,0,0,Yes,3-10,>=50%,Non-Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0597,Causal,16,3,8,6.6666667,0.8125,0.384615384615385,0.487179484615385,4,1,4,1,0.25,No,11+,<50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0149,Causal,13,2,5,5,0.846153846153846,0.545454545454545,0.545454545454545,3,1,3,0,0,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Not stated
STUDY-0256,Causal,14,1,5,4.1666667,0.928571428571429,0.615384615384615,0.679487176923077,3,0,3,2,0.666666666666667,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Not stated
STUDY-0157,Causal,16,2,7,6.6666667,0.875,0.5,0.523809521428571,4,1,4,1,0.25,Yes,3-10,<50%,Non-Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Not stated
STUDY-0972,Causal,15,3,7,6.6666667,0.8,0.416666666666667,0.444444441666667,4,1,4,2,0.5,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0766,Descriptive,7,2,4,4,0.714285714285714,0.2,0.2,3,2,2,2,1,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0257,Causal,14,4,8,6.8333333,0.714285714285714,0.2,0.31666667,3,2,3,2,0.666666666666667,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0819,Causal,14,2,6,5.1666667,0.857142857142857,0.5,0.569444441666667,3,1,3,1,0.333333333333333,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0611,Causal,17,2,9,7.6666667,0.882352941176471,0.4,0.488888886666667,4,1,4,2,0.5,Yes,3-10,>=50%,Non-Saudi,Non-Saudi,Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Declared none
STUDY-0942,Causal,16,2,6,5.1666667,0.875,0.571428571428571,0.630952378571429,4,1,4,1,0.25,No,11+,<50%,Non-Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
