PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0536,Causal,16,2,6,5.6666667,0.875,0.571428571428571,0.595238092857143,4,1,4,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Funded
STUDY-0650,Causal,12,2,4,4,0.833333333333333,0.6,0.6,3,1,3,2,0.666666666666667,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0273,Causal,18,2,9,7.3333333,0.888888888888889,0.4375,0.54166666875,5,0,5,2,0.4,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0961,Causal,14,2,7,6.5,0.857142857142857,0.416666666666667,0.458333333333333,3,1,3,1,0.333333333333333,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0609,Causal,17,1,11,10,0.941176470588235,0.3125,0.375,5,0,5,1,0.2,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Declared none
STUDY-0976,Causal,14,2,8,7.5,0.857142857142857,0.333333333333333,0.375,4,1,4,1,0.25,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Declared none
STUDY-0282,Causal,15,2,5,4.6666667,0.866666666666667,0.615384615384615,0.641025638461538,4,1,4,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0867,Descriptive,7,1,3,3,0.857142857142857,0.5,0.5,3,1,2,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0794,Descriptive,7,2,2,2,0.714285714285714,0.6,0.6,2,2,2,0,0,No,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0829,Causal,15,1,4,3.6666667,0.933333333333333,0.714285714285714,0.738095235714286,3,1,3,0,0,No,3-10,<50%,Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0875,Descriptive,9,0,5,4.5,1,0.444444444444444,0.5,4,0,3,3,1,No,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Funded
STUDY-0443,Causal,15,3,6,6,0.8,0.5,0.5,3,1,3,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q1,Q1-Q2,Funded
STUDY-0269,Causal,12,2,3,2.3333333,0.833333333333333,0.7,0.76666667,2,2,2,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0241,Causal,13,5,4,4,0.615384615384615,0.5,0.5,3,2,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Declared none
STUDY-0336,Causal,15,1,4,3.5,0.933333333333333,0.714285714285714,0.75,2,1,2,0,0,No,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Not stated
STUDY-0812,Causal,15,2,6,5.5,0.866666666666667,0.538461538461538,0.576923076923077,4,1,4,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0567,Causal,13,4,4,4,0.692307692307692,0.555555555555556,0.555555555555556,2,1,2,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q3,Q3-Q4,Funded
STUDY-0232,Descriptive,5,0,2,2,1,0.6,0.6,2,0,1,1,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0648,Descriptive,7,2,4,4,0.714285714285714,0.2,0.2,3,2,2,2,1,Yes,11+,>=50%,Saudi,Saudi,Saudi,Academic-only,Multi-sector,None,None,Funded
STUDY-0656,Causal,16,1,9,8.1666667,0.9375,0.4,0.455555553333333,4,0,4,1,0.25,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0185,Descriptive,7,2,4,4,0.714285714285714,0.2,0.2,3,2,2,2,1,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0991,Causal,16,2,9,8.5,0.875,0.357142857142857,0.392857142857143,4,1,4,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0047,Descriptive,6,2,3,3,0.666666666666667,0.25,0.25,3,2,2,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q4,Q3-Q4,Declared none
STUDY-0186,Descriptive,9,0,4,3.5,1,0.555555555555556,0.611111111111111,3,0,2,2,1,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0713,Causal,17,2,5,4.1666667,0.882352941176471,0.666666666666667,0.72222222,3,1,3,1,0.333333333333333,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0710,Causal,14,2,5,4.5,0.857142857142857,0.583333333333333,0.625,2,1,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0520,Descriptive,7,2,2,2,0.714285714285714,0.6,0.6,2,2,1,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
STUDY-0156,Descriptive,7,2,3,2.5,0.714285714285714,0.4,0.5,2,2,2,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0944,Descriptive,7,2,4,3.5,0.714285714285714,0.2,0.3,3,2,2,0,0,No,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0305,Causal,19,2,11,9.8333333,0.894736842105263,0.352941176470588,0.421568629411765,5,1,5,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0676,Causal,14,4,9,8.5,0.714285714285714,0.1,0.15,3,3,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Not stated
STUDY-0927,Causal,16,1,9,8,0.9375,0.4,0.466666666666667,3,0,3,2,0.666666666666667,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0906,Causal,13,2,5,4.6666667,0.846153846153846,0.545454545454545,0.575757572727273,2,2,2,1,0.5,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,None,None,Declared none
STUDY-0501,Causal,17,1,10,8.3333333,0.941176470588235,0.375,0.47916666875,4,0,4,1,0.25,Yes,11+,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0868,Causal,15,0,6,5.5,1,0.6,0.633333333333333,2,0,2,1,0.5,No,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Health-system,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0183,Causal,17,1,9,8,0.941176470588235,0.4375,0.5,3,0,3,2,0.666666666666667,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0053,Descriptive,7,3,2,2,0.571428571428571,0.5,0.5,2,3,2,0,0,No,3-10,<50%,Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0981,Causal,15,2,6,5.1666667,0.866666666666667,0.538461538461538,0.6025641,4,1,4,4,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0831,Causal,12,1,6,6,0.916666666666667,0.454545454545455,0.454545454545455,2,1,2,0,0,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Declared none
STUDY-0519,Causal,17,1,7,6.6666667,0.941176470588235,0.5625,0.58333333125,4,0,4,1,0.25,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0017,Causal,16,3,8,6.6666667,0.8125,0.384615384615385,0.487179484615385,4,1,4,1,0.25,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0621,Causal,14,4,5,5,0.714285714285714,0.5,0.5,2,2,2,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0905,Descriptive,10,0,6,5.5,1,0.4,0.45,5,0,4,1,0.25,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0143,Descriptive,6,0,2,2,1,0.666666666666667,0.666666666666667,1,0,1,1,1,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0644,Causal,17,3,6,5.5,0.823529411764706,0.571428571428571,0.607142857142857,3,1,3,1,0.333333333333333,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0441,Descriptive,7,2,4,3.5,0.714285714285714,0.2,0.3,3,2,2,2,1,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
STUDY-0030,Causal,13,3,5,4.1666667,0.769230769230769,0.5,0.58333333,2,2,2,0,0,No,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Funded
STUDY-0807,Causal,16,5,6,6,0.6875,0.454545454545455,0.454545454545455,4,2,4,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0371,Causal,14,3,7,7,0.785714285714286,0.363636363636364,0.363636363636364,3,2,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,None,None,Declared none
STUDY-0911,Causal,16,2,5,5,0.875,0.642857142857143,0.642857142857143,4,1,4,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0430,Causal,15,2,10,9.5,0.866666666666667,0.230769230769231,0.269230769230769,4,1,4,2,0.5,No,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0968,Causal,14,1,5,4.6666667,0.928571428571429,0.615384615384615,0.641025638461538,3,0,3,2,0.666666666666667,No,3-10,<50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0919,Causal,15,5,7,6.6666667,0.666666666666667,0.3,0.33333333,3,3,3,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0460,Causal,14,4,4,4,0.714285714285714,0.6,0.6,3,3,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0617,Descriptive,5,2,2,2,0.6,0.333333333333333,0.333333333333333,2,2,1,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q1,Q1-Q2,Funded
STUDY-0674,Causal,12,2,5,4.6666667,0.833333333333333,0.5,0.53333333,2,2,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Funded
STUDY-0299,Causal,16,2,5,5,0.875,0.642857142857143,0.642857142857143,4,1,4,2,0.5,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q3,Q3-Q4,Funded
STUDY-0580,Descriptive,9,1,4,3.5,0.888888888888889,0.5,0.5625,3,1,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0425,Causal,14,2,8,7.5,0.857142857142857,0.333333333333333,0.375,3,1,3,1,0.333333333333333,Yes,1-2,>=50%,Non-Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0783,Causal,16,1,4,3.6666667,0.9375,0.733333333333333,0.755555553333333,3,1,3,0,0,Yes,11+,>=50%,Non-Saudi,Saudi,Non-Saudi,Health-system,Multi-sector,None,None,Funded
STUDY-0466,Causal,15,2,7,6.1666667,0.866666666666667,0.461538461538462,0.525641023076923,3,1,3,1,0.333333333333333,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Funded
STUDY-0380,Causal,14,0,6,5.1666667,1,0.571428571428571,0.630952378571429,2,0,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0196,Causal,15,2,6,5.1666667,0.866666666666667,0.538461538461538,0.6025641,3,1,3,1,0.333333333333333,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0437,Causal,15,4,4,3.1666667,0.733333333333333,0.636363636363636,0.712121209090909,2,3,2,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
STUDY-0566,Causal,16,2,8,7.6666667,0.875,0.428571428571429,0.45238095,4,1,4,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Not stated
STUDY-0928,Descriptive,9,1,4,3.5,0.888888888888889,0.5,0.5625,3,1,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0202,Causal,18,2,6,5.6666667,0.888888888888889,0.625,0.64583333125,4,0,4,1,0.25,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0019,Causal,17,2,8,7.5,0.882352941176471,0.466666666666667,0.5,4,1,4,0,0,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
STUDY-0100,Causal,18,1,10,9.1666667,0.944444444444444,0.411764705882353,0.460784311764706,5,0,5,2,0.4,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
