PMID,team_cat
STUDY-0847,1-2
STUDY-0674,3-10
STUDY-0299,3-10
STUDY-0271,3-10
STUDY-0580,3-10
STUDY-0425,1-2
STUDY-0982,3-10
STUDY-0783,11+
STUDY-0466,1-2
STUDY-0228,3-10
STUDY-0708,3-10
STUDY-0380,3-10
STUDY-0893,3-10
STUDY-0196,3-10
STUDY-0437,1-2
STUDY-0566,3-10
STUDY-0928,3-10
STUDY-0099,3-10
STUDY-0202,1-2
STUDY-0019,3-10
STUDY-0100,1-2
