stratifier,task,measure,n_levels,spread,lo_level,lo_val,lo_n,hi_level,hi_val,hi_n,task_mean
Single vs multi-sector,Descriptive,mean_transparency,2,0.0198913609159511,Multi-sector,0.81797619047619,20,Single-sector,0.837867551392141,61,0.8329561042524
Single vs multi-sector,Descriptive,mean_dom_flag,2,0.375409836065574,Single-sector,2.52459016393443,61,Multi-sector,2.9,20,2.61728395061728
Single vs multi-sector,Descriptive,mean_dom_gap,2,0.135245901639344,Single-sector,1.11475409836066,61,Multi-sector,1.25,20,1.14814814814815
Single vs multi-sector,Descriptive,pct_ge3,2,17.5409836065574,Single-sector,52.4590163934426,61,Multi-sector,70,20,56.7901234567901
Single vs multi-sector,Descriptive,pct_val,2,5.79710144927536,Single-sector,44.6376811594203,61,Multi-sector,50.4347826086956,20,46.0690642333154
Single vs multi-sector,Descriptive,pct_worst,2,7.82608695652175,Single-sector,64.3478260869565,61,Multi-sector,72.1739130434783,20,66.280193236715
Single vs multi-sector,Descriptive,mean_ack,2,0.092896174863388,Single-sector,0.323770491803279,61,Multi-sector,0.416666666666667,20,0.346707818930041
Single vs multi-sector,Causal,mean_err_w,2,0.309484464331351,Multi-sector,5.67647060196078,51,Single-sector,5.98595506629214,178,5.91703057860262
Single vs multi-sector,Causal,mean_val_err,2,0.433024895351399,Multi-sector,6.15686274509804,51,Single-sector,6.58988764044944,178,6.49344978165939
Single vs multi-sector,Causal,mean_rep_gap,2,0.541749283983256,Multi-sector,1.86274509803922,51,Single-sector,2.40449438202247,178,2.28384279475983
Single vs multi-sector,Causal,mean_validity,2,0.0200708613212014,Single-sector,0.480667246207563,178,Multi-sector,0.500738107528765,51,0.485137176021456
Single vs multi-sector,Causal,mean_transparency,2,0.0284061941544999,Single-sector,0.838671856271301,178,Multi-sector,0.867078050425801,51,0.844998126585186
Single vs multi-sector,Causal,mean_dom_flag,2,0.28916060806345,Multi-sector,2.94117647058824,51,Single-sector,3.23033707865169,178,3.16593886462882
Single vs multi-sector,Causal,mean_dom_gap,2,0.0985899977968714,Multi-sector,1.09803921568627,51,Single-sector,1.19662921348315,178,1.17467248908297
Single vs multi-sector,Causal,pct_ge3,2,11.9960343688037,Multi-sector,70.5882352941177,51,Single-sector,82.5842696629213,178,79.9126637554585
Single vs multi-sector,Causal,pct_val,2,3.06820512481227,Multi-sector,51.9031141868512,51,Single-sector,54.9713193116635,178,54.2880072532992
Single vs multi-sector,Causal,pct_worst,2,4.05433121398373,Multi-sector,71.280276816609,51,Single-sector,75.3346080305927,178,74.4316783715833
Single vs multi-sector,Causal,mean_ack,2,0.0452853051332893,Single-sector,0.299812734082397,178,Multi-sector,0.345098039215686,51,0.309898107714702
JCR 2022 quartile,Descriptive,mean_err_w,5,0.736928104575163,Q1,2.73529411764706,17,Q3,3.47222222222222,18,3.17283950617284
JCR 2022 quartile,Descriptive,mean_val_err,5,0.781045751633987,Q1,2.94117647058824,17,Q3,3.72222222222222,18,3.40740740740741
JCR 2022 quartile,Descriptive,mean_rep_gap,5,0.451923076923077,Q2,0.923076923076923,13,None,1.375,16,1.14814814814815
JCR 2022 quartile,Descriptive,mean_validity,5,0.082897503730837,Q3,0.39402557319224,18,Q2,0.476923076923077,13,0.431554967666079
JCR 2022 quartile,Descriptive,mean_transparency,5,0.0612541971916971,None,0.802604166666667,16,Q2,0.863858363858364,13,0.8329561042524
JCR 2022 quartile,Descriptive,mean_dom_flag,5,0.483660130718954,Q1,2.29411764705882,17,Q3,2.77777777777778,18,2.61728395061728
