stratifier,level,ord,task,N,mean_val_err,mean_rep_gap,mean_err_w,sd_err_w,median_err_w,q25_err_w,q75_err_w,min_err_w,max_err_w,mean_validity,mean_validity_w,mean_transparency,median_validity,median_transparency,mean_dom_flag,mean_dom_gap,pct_clean,pct_ge3,sd_rep_gap,sd_dom_flag,sd_dom_gap,sd_validity,sd_transparency,sd_ack,cells_app,pct_ok,pct_rep,pct_val,pct_worst,n_ack_elig,mean_ack,pct_ack_none,q_hihi,q_hilo,q_lohi,q_lolo
% Saudi authors,>=50%,1,Descriptive,55,3.50909090909091,1.10909090909091,3.24545454545455,1.11335631743045,3.5,2.5,4,1,6.5,0.422893217893218,0.465046897546898,0.838427128427128,0.428571428571429,0.833333333333333,2.61818181818182,1.10909090909091,0,60,0.785817038189181,1.00904995821903,0.785817038189181,0.158500529682634,0.114861151634155,0.400774362686483,312,34.2948717948718,19.5512820512821,46.1538461538462,65.7051282051282,55,0.331818181818182,50.9090909090909,11,13,10,21
% Saudi authors,>=50%,1,Causal,145,6.66206896551724,2.18620689655172,6.07873564206897,1.8433485726552,6,4.6666667,7.5,2.3333333,12,0.474979243767276,0.520147552193716,0.850943292707198,0.5,0.866666666666667,3.1448275862069,1.13793103448276,0,79.3103448275862,1.30695897504555,0.824783728763921,0.909980842710228,0.141521552125823,0.0927410487069878,0.27575185544468,843,26.3345195729537,19.5729537366548,54.0925266903915,73.6654804270463,145,0.297471264367816,37.2413793103448,49,38,27,31
% Saudi authors,<50%,2,Descriptive,26,3.19230769230769,1.23076923076923,3.01923076923077,0.921745835149465,3,2,3.5,1.5,4.5,0.4498778998779,0.473717948717949,0.821382783882784,0.436507936507937,0.857142857142857,2.61538461538462,1.23076923076923,0,50,0.908083357746074,0.8038369524685,0.908083357746074,0.123085682661615,0.143472849839286,0.433481237086431,148,32.4324324324324,21.6216216216216,45.9459459459459,67.5675675675676,26,0.378205128205128,50,9,5,3,9
% Saudi authors,<50%,2,Causal,84,6.20238095238095,2.45238095238095,5.63789683809524,1.57666075054069,5.5,4.6666667,6.6666667,2.3333333,10.6666667,0.502671701936408,0.546719135411563,0.834735637445998,0.514705882352941,0.861904761904762,3.20238095238095,1.23809523809524,0,80.9523809523809,1.41765768043979,0.861209039521357,0.886567057501535,0.137116802408908,0.100885355524886,0.319192051921836,492,24.1869918699187,21.1382113821138,54.6747967479675,75.8130081300813,84,0.331349206349206,34.5238095238095,32,15,20,17
Corresponding author,Saudi,1,Descriptive,58,3.46551724137931,1.17241379310345,3.20689655172414,1.11620630504692,3.25,2.5,4,1,6.5,0.424418445539135,0.465623289545703,0.8290982484948,0.414285714285714,0.833333333333333,2.62068965517241,1.17241379310345,0,58.6206896551724,0.861209492913081,1.00573070594149,0.861209492913081,0.159420737664234,0.127158323239066,0.387231618382924,330,33.3333333333333,20.6060606060606,46.0606060606061,66.6666666666667,58,0.306034482758621,53.448275862069,12,12,11,23
Corresponding author,Saudi,1,Causal,146,6.55479452054795,2.18493150684932,5.9777397369863,1.83164214323211,5.6666667,4.5,7.125000025,2.3333333,12,0.48273339551039,0.527491247374002,0.850929080497234,0.5,0.866666666666667,3.12328767123288,1.15753424657534,0,78.7671232876712,1.281181699448,0.804216568523885,0.892020999941327,0.137516345280628,0.0903676852731411,0.28435898994944,847,26.2101534828808,19.952774498229,53.8370720188902,73.7898465171192,146,0.299657534246575,38.3561643835616,49,36,31,30
Corresponding author,Non-Saudi,2,Descriptive,23,3.26086956521739,1.08695652173913,3.08695652173913,0.900153697899363,3,2.25,3.75,1.5,4.5,0.449551414768806,0.473395445134576,0.842684610075914,0.428571428571429,0.857142857142857,2.60869565217391,1.08695652173913,0,52.1739130434783,0.733177609528977,0.782718481539738,0.733177609528977,0.114646040938969,0.118221691587121,0.453479206167162,130,34.6153846153846,19.2307692307692,46.1538461538462,65.3846153846154,23,0.449275362318841,43.4782608695652,8,6,2,7
Corresponding author,Non-Saudi,2,Causal,83,6.3855421686747,2.4578313253012,5.8102409746988,1.63057015389168,5.6666667,5,6.6666667,2.3333333,11,0.489365512824053,0.534121449711516,0.834565364282064,0.5,0.866666666666667,3.24096385542169,1.20481927710843,0,81.9277108433735,1.45921132072053,0.891564279528569,0.920750438164413,0.145709761087678,0.104705033709992,0.306436247317922,488,24.3852459016393,20.4918032786885,55.1229508196721,75.6147540983606,83,0.327911646586345,32.5301204819277,32,17,16,18
First author,Saudi,1,Descriptive,59,3.47457627118644,1.16949152542373,3.21186440677966,1.12266381889816,3.5,2.5,4,1,6.5,0.421744686575195,0.463946058649448,0.829573580844767,0.4,0.833333333333333,2.61016949152542,1.16949152542373,0,57.6271186440678,0.812669979522191,1.0002921840822,0.812669979522191,0.156946771677119,0.120400706632034,0.394367241461225,336,33.6309523809524,20.5357142857143,45.8333333333333,66.3690476190476,59,0.317796610169492,52.5423728813559,12,13,11,23
First author,Saudi,1,Causal,152,6.59868421052632,2.19736842105263,6.02686404539474,1.84355473794051,5.6666667,4.5,7.20833335,2.3333333,12,0.476821742606379,0.521612838408496,0.849812460207401,0.5,0.866666666666667,3.13157894736842,1.16447368421053,0,78.2894736842105,1.30733779176524,0.827380855361515,0.909436030374115,0.142799007215042,0.0925257924145605,0.281398211833373,881,25.8796821793417,20.0908059023837,54.0295119182747,74.1203178206583,152,0.299671052631579,37.5,53,37,29,33
First author,Non-Saudi,2,Descriptive,22,3.22727272727273,1.09090909090909,3.06818181818182,0.863209053549527,3,2.125,3.5,2,4.5,0.457864357864358,0.478246753246753,0.842027417027417,0.436507936507937,0.875,2.63636363636364,1.09090909090909,0,54.5454545454545,0.867897893330058,0.789542033951723,0.867897893330058,0.119251440306286,0.136083695229103,0.447589879618273,124,33.8709677419355,19.3548387096774,46.7741935483871,66.1290322580645,22,0.424242424242424,45.4545454545455,8,5,2,7
First author,Non-Saudi,2,Causal,77,6.28571428571429,2.45454545454545,5.70021646233766,1.56990262912698,5.6666667,5,6.6666667,2.3333333,10.6666667,0.5015520575681,0.546242220838554,0.835494506967307,0.5,0.857142857142857,3.23376623376623,1.19480519480519,0,83.1168831168831,1.42852016312663,0.85680102548135,0.889100092627091,0.134505538577181,0.102216985774718,0.313360382383225,454,24.8898678414097,20.2643171806167,54.8458149779736,75.1101321585903,77,0.33008658008658,33.7662337662338,28,16,18,15
Last author,Saudi,1,Descriptive,51,3.45098039215686,1.11764705882353,3.18627450980392,1.08609752929341,3,2.5,4,1,6.5,0.431318082788671,0.473836756924992,0.837542794895736,0.428571428571429,0.833333333333333,2.56862745098039,1.11764705882353,0,58.8235294117647,0.840168050416806,0.984985318891288,0.840168050416806,0.158474533116104,0.122593901937807,0.397788001475217,290,35.1724137931034,19.6551724137931,45.1724137931034,64.8275862068966,51,0.343137254901961,49.0196078431373,12,11,9,19
Last author,Saudi,1,Causal,133,6.57894736842105,2.24812030075188,6.01315790601504,1.75248867408038,5.6666667,4.6666667,7,2.3333333,12,0.473774275383077,0.518362702051588,0.845352594672877,0.5,0.857142857142857,3.15789473684211,1.18045112781955,0,81.203007518797,1.33941424916739,0.805681579172283,0.919770940408909,0.132802929173764,0.0954843566444803,0.265137518753072,774,25.4521963824289,20.2842377260982,54.2635658914729,74.5478036175711,133,0.288220551378446,37.593984962406,44,35,25,29
Last author,Non-Saudi,2,Descriptive,30,3.33333333333333,1.2,3.15,1.01836583088654,3,2,4,1.5,5.5,0.431957671957672,0.457619047619048,0.82515873015873,0.414285714285714,0.845238095238095,2.7,1.2,0,53.3333333333333,0.805155799872898,0.876906789368961,0.805155799872898,0.130318110885705,0.12835922469359,0.435320011178929,170,31.1764705882353,21.1764705882353,47.6470588235294,68.8235294117647,30,0.352777777777778,53.3333333333333,8,7,4,11
Last author,Non-Saudi,2,Causal,96,6.375,2.33333333333333,5.78385417708333,1.77002239053655,5.6666667,4.625000025,6.70833335,2.3333333,11,0.500879527947543,0.545870448643739,0.844507040588697,0.533333333333333,0.866666666666667,3.17708333333333,1.16666666666667,0,78.125,1.37394297488856,0.882517829450627,0.878595370213959,0.149256339792225,0.0969940402737024,0.325068406356133,561,25.668449197861,19.9643493761141,54.367201426025,74.331550802139,96,0.339930555555556,34.375,37,18,22,19
Sector composition,Academic-only,1,Descriptive,51,3.64705882352941,1.23529411764706,3.38235294117647,0.886500058060447,3.5,3,4,2,5.5,0.407648615001556,0.447786336756925,0.825863678804855,0.4,0.833333333333333,2.7843137254902,1.23529411764706,0,66.6666666666667,0.862281515379233,0.832195301361311,0.862281515379233,0.144675379635268,0.127726986501051,0.393458216576705,297,30.976430976431,21.2121212121212,47.8114478114478,69.023569023569,51,0.315359477124183,52.9411764705882,13,11,6,21
Sector composition,Academic-only,1,Causal,156,6.69871794871795,2.43589743589744,6.06356838589744,1.77202252218375,6,5,7.1666667,2.3333333,12,0.474458532815433,0.523300029039938,0.837228471860229,0.5,0.866666666666667,3.25641025641026,1.21794871794872,0,83.3333333333333,1.34969285480659,0.841441120718534,0.903718995683745,0.143314256672489,0.0958847791162916,0.296229619398948,922,24.295010845987,20.6073752711497,55.0976138828633,75.704989154013,156,0.303098290598291,37.1794871794872,51,40,28,37
Sector composition,Health-system,2,Descriptive,30,3,1,2.81666666666667,1.2281422284627,2.75,2,3.375,1,6.5,0.472195767195767,0.501904761904762,0.845013227513227,0.436507936507937,0.833333333333333,2.33333333333333,1,0,40,0.742781352708207,1.06133726101046,0.742781352708207,0.146566730734837,0.118834999115806,0.436811856181983,163,38.6503067484663,18.4049079754601,42.9447852760736,61.3496932515337,30,0.4,46.6666666666667,7,7,7,9
Sector composition,Health-system,2,Causal,73,6.05479452054795,1.95890410958904,5.60388129178082,1.70272231416023,5.5,4.5,6.6666667,2.3333333,11,0.507957290269941,0.54398627277301,0.861601772298791,0.538461538461538,0.866666666666667,2.97260273972603,1.08219178082192,0,72.6027397260274,1.30637705298517,0.798829051725886,0.893703664805657,0.131551068096407,0.0944772550736991,0.28486896207531,413,28.3292978208232,19.1283292978208,52.5423728813559,71.6707021791768,73,0.324429223744292,34.2465753424658,30,13,19,11
Single vs multi-sector,Single-sector,1,Descriptive,61,3.31147540983607,1.11475409836066,3.09836065573771,0.990873655464155,3,2,4,1,5.5,0.44504293520687,0.477836325787145,0.837867551392141,0.444444444444444,0.857142857142857,2.52459016393443,1.11475409836066,0,52.4590163934426,0.85826104528746,0.905659195964449,0.85826104528746,0.146738384465819,0.130604746587051,0.409973565276915,345,35.6521739130435,19.7101449275362,44.6376811594203,64.3478260869565,61,0.323770491803279,54.0983606557377,19,12,10,20
Single vs multi-sector,Single-sector,1,Causal,178,6.58988764044944,2.40449438202247,5.98595506629214,1.73879860463725,5.6666667,5,7,2.3333333,12,0.480667246207563,0.527256479781431,0.838671856271301,0.5,0.857142857142857,3.23033707865169,1.19662921348315,0,82.5842696629213,1.35479146454266,0.828708680916548,0.88973422530783,0.14256828925924,0.0961930002240864,0.291741253654041,1046,24.6653919694073,20.3632887189293,54.9713193116635,75.3346080305927,178,0.299812734082397,37.0786516853933,62,41,35,40
Single vs multi-sector,Multi-sector,2,Descriptive,20,3.7,1.25,3.4,1.23117402250218,3.5,2.875,4.125,1,6.5,0.390416666666667,0.437311507936508,0.81797619047619,0.4,0.833333333333333,2.9,1.25,0,70,0.716350399411379,1.02083557106808,0.716350399411379,0.147138362006519,0.103301132170237,0.410034943597202,115,27.8260869565217,21.7391304347826,50.4347826086956,72.1739130434783,20,0.416666666666667,40,1,6,3,10
Single vs multi-sector,Multi-sector,2,Causal,51,6.15686274509804,1.86274509803922,5.67647060196078,1.82769185466832,5.5,4.1666667,6.83333335,2.3333333,11,0.500738107528765,0.539100961599323,0.867078050425801,0.5,0.866666666666667,2.94117647058824,1.09803921568627,0,70.5882352941177,1.26522105330471,0.834548134163209,0.943502028843273,0.132040431725314,0.0924638968652749,0.293963227436643,289,28.719723183391,19.3771626297578,51.9031141868512,71.280276816609,51,0.345098039215686,33.3333333333333,19,12,12,8
JCR 2022 quartile,Q1,1,Descriptive,17,2.94117647058824,1.17647058823529,2.73529411764706,0.849956746304325,2.5,2,3.5,1.5,4.5,0.455718954248366,0.488713818860878,0.821008403361345,0.5,0.833333333333333,2.29411764705882,1.17647058823529,0,35.2941176470588,0.951005659660279,0.77174363314129,0.951005659660279,0.128364050098417,0.147898831775613,0.437003686737563,92,35.8695652173913,21.7391304347826,42.3913043478261,64.1304347826087,17,0.333333333333333,58.8235294117647,5,2,4,6
