stratifier,level,task,index,n,observed,corrected,lo,hi,shift,interval_contains_observed
Single vs multi-sector,Multi-sector,Descriptive,validity,20,0.390416666666667,0.462053571428571,0.35809126984127,0.573334325396825,0.0716369047619048,TRUE
Single vs multi-sector,Single-sector,Causal,transparency,178,0.838671856271301,0.828807655798842,0.777274405181312,0.870409132335518,-0.00986420047245962,TRUE
Single vs multi-sector,Single-sector,Descriptive,transparency,61,0.837867551392142,0.831391491022639,0.761865567265157,0.895612639864689,-0.00647606036950299,TRUE
Single vs multi-sector,Multi-sector,Causal,transparency,51,0.867078050425801,0.848159529020256,0.791116131281572,0.891073024358059,-0.0189185214055456,TRUE
Single vs multi-sector,Multi-sector,Descriptive,transparency,20,0.817976190476191,0.818839285714286,0.747655257936508,0.882579861111111,0.000863095238095246,TRUE
Single vs multi-sector,Single-sector,Causal,acknowledgement,178,0.299812734082397,0.301404494382022,0.266282771535581,0.336427902621723,0.00159176029962549,TRUE
Single vs multi-sector,Single-sector,Descriptive,acknowledgement,61,0.323770491803279,0.313888888888889,0.271857923497268,0.34836691712204,-0.00988160291438978,TRUE
Single vs multi-sector,Multi-sector,Causal,acknowledgement,51,0.345098039215686,0.324183006535948,0.279738562091503,0.366013071895425,-0.0209150326797385,TRUE
Single vs multi-sector,Multi-sector,Descriptive,acknowledgement,20,0.416666666666667,0.391666666666667,0.308333333333333,0.45,-0.025,TRUE
JCR 2022 quartile,Q1,Causal,validity,47,0.465632590882904,0.474018504267253,0.383321751126429,0.548422439271548,0.00838591338434891,TRUE
JCR 2022 quartile,Q1,Descriptive,validity,17,0.455718954248366,0.511612978524743,0.400138305322129,0.620437091503268,0.0558940242763773,TRUE
JCR 2022 quartile,Q2,Causal,validity,67,0.525694379272079,0.526514181847808,0.435485584920396,0.59418479914145,0.00081980257572889,TRUE
JCR 2022 quartile,Q2,Descriptive,validity,13,0.476923076923077,0.513675213675214,0.400483821733822,0.625860042735043,0.0367521367521368,TRUE
JCR 2022 quartile,Q3,Causal,validity,45,0.490874996463232,0.495484920852568,0.405591997191262,0.563089431900706,0.00460992438933616,TRUE
JCR 2022 quartile,Q3,Descriptive,validity,18,0.39402557319224,0.457451499118166,0.350783179012346,0.569139109347443,0.0634259259259259,TRUE
JCR 2022 quartile,Q4,Causal,validity,20,0.483637281835811,0.503403020590521,0.40394979734318,0.588157351839337,0.0197657387547093,TRUE
JCR 2022 quartile,Q4,Descriptive,validity,17,0.424042950513539,0.478209617180205,0.366820728291317,0.599176003734827,0.0541666666666667,TRUE
JCR 2022 quartile,None,Causal,validity,50,0.444560752972518,0.462981863423814,0.379353730052627,0.53550835131286,0.0184211104512962,TRUE
JCR 2022 quartile,None,Descriptive,validity,16,0.41922123015873,0.477765376984127,0.372702132936508,0.58254650297619,0.0585441468253968,TRUE
JCR 2022 quartile,Q1,Causal,transparency,47,0.854034840142475,0.832990190695134,0.774487678136771,0.877961298409906,-0.0210446494473402,TRUE
JCR 2022 quartile,Q1,Descriptive,transparency,17,0.821008403361345,0.835947712418301,0.757411297852474,0.913538748832866,0.0149393090569562,TRUE
JCR 2022 quartile,Q2,Causal,transparency,67,0.84877275659356,0.837739247977915,0.784359650604813,0.878050450384258,-0.0110335086156443,TRUE
JCR 2022 quartile,Q2,Descriptive,transparency,13,0.863858363858364,0.854700854700855,0.769184981684982,0.937118437118437,-0.00915750915750924,TRUE
JCR 2022 quartile,Q3,Causal,transparency,45,0.854487279242181,0.840806858355878,0.785189640243562,0.883661792138508,-0.0136804208863034,TRUE
JCR 2022 quartile,Q3,Descriptive,transparency,18,0.838734567901235,0.825683421516755,0.747418430335097,0.882396384479718,-0.0130511463844797,TRUE
JCR 2022 quartile,Q4,Causal,transparency,20,0.821282223753199,0.818495932279794,0.764996149640693,0.863967113059799,-0.00278629147340459,TRUE
JCR 2022 quartile,Q4,Descriptive,transparency,17,0.843720821661998,0.818160597572362,0.73624241363212,0.885854341736695,-0.0255602240896359,TRUE
JCR 2022 quartile,None,Causal,transparency,50,0.832391735371611,0.826106185996666,0.771883236867622,0.872638714669404,-0.00628554937494563,TRUE
JCR 2022 quartile,None,Descriptive,transparency,16,0.802604166666667,0.811904761904762,0.73735119047619,0.885540674603175,0.00930059523809523,TRUE
JCR 2022 quartile,Q1,Causal,acknowledgement,47,0.34645390070922,0.361347517730496,0.309574468085106,0.429787234042553,0.0148936170212766,TRUE
JCR 2022 quartile,Q1,Descriptive,acknowledgement,17,0.333333333333333,0.323529411764706,0.254901960784314,0.385416666666667,-0.00980392156862742,TRUE
JCR 2022 quartile,Q2,Causal,acknowledgement,67,0.379353233830846,0.369900497512438,0.32238184079602,0.412941542288557,-0.00945273631840798,TRUE
JCR 2022 quartile,Q2,Descriptive,acknowledgement,13,0.346153846153846,0.333333333333333,0.25,0.384615384615385,-0.0128205128205128,TRUE
JCR 2022 quartile,Q3,Causal,acknowledgement,45,0.289259259259259,0.281851851851852,0.242222222222222,0.325925925925926,-0.00740740740740742,TRUE
JCR 2022 quartile,Q3,Descriptive,acknowledgement,18,0.453703703703704,0.416666666666667,0.324074074074074,0.481481481481481,-0.037037037037037,TRUE
JCR 2022 quartile,Q4,Causal,acknowledgement,20,0.229166666666667,0.22125,0.170833333333333,0.275,-0.00791666666666666,TRUE
JCR 2022 quartile,Q4,Descriptive,acknowledgement,17,0.313725490196078,0.313725490196078,0.245098039215686,0.385416666666667,0,TRUE
JCR 2022 quartile,None,Causal,acknowledgement,50,0.233333333333333,0.225333333333333,0.187666666666667,0.265,-0.00800000000000001,TRUE
JCR 2022 quartile,None,Descriptive,acknowledgement,16,0.276041666666667,0.276041666666667,0.213541666666667,0.327777777777778,0,TRUE
Funding,Funded,Causal,validity,111,0.482237486649251,0.492531649555643,0.404938308323564,0.56245999891801,0.010294162906392,TRUE
Funding,Funded,Descriptive,validity,31,0.396799795186892,0.468068356374808,0.370542754736303,0.574370839733743,0.071268561187916,TRUE
Funding,Declared none,Causal,validity,57,0.475673498041919,0.486594277777877,0.399825312895166,0.55605356767702,0.0109207797359581,TRUE
Funding,Declared none,Descriptive,validity,29,0.435974274767378,0.481841817186645,0.382927955665025,0.580452586206897,0.0458675424192665,TRUE
Funding,Not stated,Causal,validity,61,0.499256768892738,0.500411220221972,0.416641307703868,0.570666621228338,0.00115445132923436,TRUE
Funding,Not stated,Descriptive,validity,21,0.476757369614512,0.517290249433107,0.414980631141345,0.617805177626606,0.040532879818594,TRUE
Funding,Funded,Causal,transparency,111,0.840028956592424,0.82805477201762,0.774781096130748,0.870768477189723,-0.0119741845748037,TRUE
Funding,Funded,Descriptive,transparency,31,0.805005120327701,0.811098310291859,0.745833333333333,0.877962429595494,0.00609318996415775,TRUE
Funding,Declared none,Causal,transparency,57,0.849125784368981,0.837869516692639,0.784303406885949,0.880655148769404,-0.0112562676763426,TRUE
Funding,Declared none,Descriptive,transparency,29,0.849356869184455,0.836234263820471,0.75930316091954,0.903947728516694,-0.0131226053639847,TRUE
Funding,Not stated,Causal,transparency,61,0.850183395036336,0.838013090520323,0.783758021015736,0.881179687430591,-0.0121703045160133,TRUE
Funding,Not stated,Descriptive,transparency,21,0.851568405139834,0.841269841269841,0.762705498866213,0.902591175359032,-0.0102985638699925,TRUE
Funding,Funded,Causal,acknowledgement,111,0.334234234234234,0.333483483483484,0.292642642642643,0.372079579579579,-0.000750750750750706,TRUE
Funding,Funded,Descriptive,acknowledgement,31,0.341397849462366,0.341397849462366,0.287634408602151,0.381720430107527,0,TRUE
Funding,Declared none,Causal,acknowledgement,57,0.275438596491228,0.275146198830409,0.237419590643275,0.321352339181287,-0.000292397660818677,TRUE
Funding,Declared none,Descriptive,acknowledgement,29,0.298850574712644,0.270114942528736,0.208297413793103,0.316091954022989,-0.0287356321839081,TRUE
Funding,Not stated,Causal,acknowledgement,61,0.297814207650273,0.287978142076503,0.246174863387978,0.327329234972678,-0.00983606557377048,TRUE
Funding,Not stated,Descriptive,acknowledgement,21,0.420634920634921,0.412698412698413,0.325396825396825,0.476190476190476,-0.00793650793650796,TRUE
