PMID,n_sectors,lead_saudi_type,multisector,multisector_union,health_system,health_system_union
STUDY-0335,1,Other sectors,False,False,False,False
STUDY-0096,1,Other sectors,False,False,False,False
STUDY-0032,1,University,False,False,False,False
STUDY-0778,4,Other sectors,True,True,True,True
STUDY-0878,1,University,False,False,False,False
STUDY-0864,2,University,True,True,True,True
STUDY-0902,1,University,False,True,False,True
STUDY-0659,1,University,False,False,False,False
STUDY-0345,2,University,True,True,False,True
STUDY-0472,1,University,False,True,False,True
STUDY-0331,1,University,False,False,False,False
STUDY-0901,1,University,False,False,False,False
STUDY-0476,1,University,False,False,False,False
STUDY-1010,1,University,False,False,False,False
STUDY-1013,3,University,True,True,True,True
STUDY-0137,1,University,False,False,False,False
STUDY-0194,1,University,False,False,False,False
STUDY-0736,1,University,False,False,False,False
STUDY-0312,1,University,False,True,False,True
STUDY-0808,1,University,False,False,False,False
STUDY-0647,1,University,False,False,False,False
STUDY-0978,2,Hospital / medical city,True,True,True,True
STUDY-0188,1,University,False,False,False,False
STUDY-0940,1,University,False,False,False,False
STUDY-0936,1,University,False,False,False,False
STUDY-0605,1,University,False,False,False,False
STUDY-0889,1,University,False,False,False,False
STUDY-0084,1,University,False,False,False,False
STUDY-1024,1,University,False,False,False,False
STUDY-0415,1,University,False,False,False,False
STUDY-0426,3,Hospital / medical city,True,True,True,True
STUDY-0824,1,University,False,False,False,False
STUDY-0974,2,University,True,True,True,True
STUDY-0422,2,Hospital & research centre,True,True,True,True
STUDY-0679,2,University,True,True,True,True
STUDY-0115,1,University,False,True,False,True
STUDY-0764,1,University,False,False,False,False
STUDY-0931,1,University,False,False,False,False
STUDY-0677,1,University,False,False,False,False
STUDY-0320,2,Hospital / medical city,True,True,True,True
STUDY-0110,1,University,False,False,False,False
STUDY-0280,1,University,False,True,False,True
STUDY-0434,1,University,False,False,False,False
STUDY-0237,1,Hospital / medical city,False,True,True,True
STUDY-0825,1,University,False,False,False,False
STUDY-0329,1,University,False,False,False,False
STUDY-0101,1,University,False,False,False,False
STUDY-0561,2,Military & security-forces medical,True,True,True,True
STUDY-0130,1,University,False,False,False,False
STUDY-0083,1,University,False,False,False,False
STUDY-0633,1,University,False,False,False,False
STUDY-0876,1,University,False,False,False,False
STUDY-0669,1,University,False,False,False,False
STUDY-0504,1,University,False,False,False,False
STUDY-0074,1,University,False,False,False,False
STUDY-0055,1,University,False,False,False,False
STUDY-0722,1,University,False,False,False,False
STUDY-0947,1,University,False,False,False,False
STUDY-0245,1,University,False,False,False,False
STUDY-0551,1,University,False,False,False,False
STUDY-0379,3,University,True,True,True,True
STUDY-0887,2,University,True,True,True,True
STUDY-0695,1,University,False,False,False,False
STUDY-0762,1,University,False,False,False,False
STUDY-0823,3,University,True,True,True,True
STUDY-0536,2,University,True,True,True,True
STUDY-0910,1,University,False,False,False,False
STUDY-0650,3,University,True,True,True,True
STUDY-0273,1,University,False,False,False,False
STUDY-0961,1,University,False,False,False,False
STUDY-0712,1,University,False,False,False,False
STUDY-0609,2,University,True,True,True,True
STUDY-0976,3,University,True,True,True,True
STUDY-0282,1,University,False,False,False,False
STUDY-0867,1,University,False,False,False,False
STUDY-0794,1,University,False,False,False,False
STUDY-0031,1,University,False,True,False,False
STUDY-0829,1,University,False,False,False,False
STUDY-0875,2,Hospital / medical city,True,True,True,True
STUDY-0443,1,Hospital & research centre,False,True,True,True
STUDY-0269,1,University,False,False,False,False
STUDY-0241,2,Hospital / medical city,True,True,True,True
STUDY-0336,1,University,False,False,False,False
STUDY-0812,1,University,False,False,False,False
STUDY-0567,1,Hospital / medical city,False,False,True,True
STUDY-0232,1,Military & security-forces medical,False,False,True,True
STUDY-0125,1,University,False,False,False,False
STUDY-0648,2,Other sectors,True,True,False,False
STUDY-0656,1,University,False,False,False,False
STUDY-0185,1,University,False,False,False,False
STUDY-0991,1,University,False,True,False,True
STUDY-0065,1,University,False,False,False,False
STUDY-0047,2,University,True,True,True,True
STUDY-0457,1,University,False,False,False,False
STUDY-0186,1,University,False,False,False,False
STUDY-0713,1,University,False,False,False,False
STUDY-0710,1,University,False,False,False,False
STUDY-0520,1,University,False,False,False,False
STUDY-0156,1,University,False,False,False,False
STUDY-0944,1,University,False,False,False,False
STUDY-0305,1,University,False,False,False,False
STUDY-0676,2,University,True,True,True,True
STUDY-0927,2,University,True,True,True,True
STUDY-0906,1,Other sectors,False,False,True,True
STUDY-0883,1,University,False,True,False,True
STUDY-0501,1,University,False,False,False,False
STUDY-0868,1,Other sectors,False,False,True,True
STUDY-0183,1,University,False,False,False,False
STUDY-0053,1,University,False,False,False,False
STUDY-0981,1,University,False,False,False,False
STUDY-0102,1,University,False,False,False,False
STUDY-0596,1,University,False,False,False,False
STUDY-0831,2,University,True,True,True,True
STUDY-0856,1,University,False,False,False,False
STUDY-0519,1,Military & security-forces medical,False,False,True,True
STUDY-0017,1,University,False,False,False,False
STUDY-0621,1,University,False,False,False,False
STUDY-0905,1,University,False,False,False,False
STUDY-0143,1,University,False,False,False,False
STUDY-0644,1,University,False,True,False,True
STUDY-0441,1,University,False,False,False,False
STUDY-0030,2,University,True,True,True,True
STUDY-0807,1,University,False,True,False,True
STUDY-0371,1,Military & security-forces medical,False,False,True,True
STUDY-0911,1,University,False,False,False,False
STUDY-0430,1,University,False,False,False,False
